trial_type,ssd,observed_rt,ss_rt,outcome,participant_id
go,,517.1666973073532,,go,0
go,,558.2322072575641,,go,0
go,,486.89000322709717,,go,0
go,,593.0377054364991,,go,0
stop,80.0,561.925137987727,177.1769178217234,stop-respond,0
go,,465.45286987301625,,go,0
go,,549.4181951454237,,go,0
go,,674.74770753915,,go,0
go,,475.3561888380934,,go,0
stop,480.0,502.16013344756766,178.40091076311035,stop-respond,0
go,,556.1351860584224,,go,0
go,,502.51609882257236,,go,0
go,,520.2449907556104,,go,0
go,,565.7439046867163,,go,0
stop,400.0,494.25698119254895,177.65458646661878,stop-respond,0
go,,509.0604575484059,,go,0
go,,528.1083250945165,,go,0
go,,551.5681115636081,,go,0
go,,479.03194457298275,,go,0
stop,400.0,518.9326436299107,180.22706614168953,stop-respond,0
go,,479.12233116192806,,go,0
go,,572.0817110322126,,go,0
go,,495.01206523882837,,go,0
go,,508.75032045535704,,go,0
stop,160.0,499.4805959268344,180.49789084291575,stop-respond,0
go,,575.5389344175532,,go,0
go,,377.39508125734864,,go,0
go,,409.55266454148995,,go,0
go,,498.8627232559774,,go,0
stop,80.0,,178.738576630492,successful inhibition,0
go,,530.0791645384579,,go,0
go,,420.3677387872847,,go,0
go,,464.05465488354304,,go,0
go,,579.1967592665081,,go,0
stop,80.0,,181.06221177012017,successful inhibition,0
go,,643.3407431337563,,go,0
go,,548.4409955749812,,go,0
go,,475.81653569145163,,go,0
go,,552.4954183405695,,go,0
stop,320.0,528.7731250055211,177.21313910061764,stop-respond,0
go,,502.60629914739934,,go,0
go,,478.93988537333763,,go,0
go,,536.2339458252965,,go,0
go,,524.5329405072738,,go,0
stop,480.0,492.52027255136727,181.41056865264008,stop-respond,0
go,,442.2369248784711,,go,0
go,,507.24970816533335,,go,0
go,,578.5158066194257,,go,0
go,,442.93939432486127,,go,0
stop,480.0,478.166369032953,179.94453558976136,stop-respond,0
go,,576.547871916941,,go,1
go,,611.9729051958104,,go,1
go,,498.060802156801,,go,1
go,,617.9624973683449,,go,1
stop,240.0,539.7311185539426,375.74960420691434,stop-respond,1
go,,549.2261824315614,,go,1
go,,576.4825165095489,,go,1
go,,624.526480349036,,go,1
go,,823.9000997000112,,go,1
stop,80.0,595.7884861946475,229.19820296302623,stop-respond,1
go,,613.2287974121713,,go,1
go,,423.79381953186964,,go,1
go,,481.44088775655973,,go,1
go,,576.8724313234878,,go,1
stop,400.0,593.0601074498868,190.72652819870285,stop-respond,1
go,,606.2200035359397,,go,1
go,,547.8735409300377,,go,1
go,,667.8241680360869,,go,1
go,,506.6761712462158,,go,1
stop,160.0,495.6206606573902,181.09475090089632,stop-respond,1
go,,629.1247511298191,,go,1
go,,533.2274302366644,,go,1
go,,503.9227691388976,,go,1
go,,720.0320292426753,,go,1
stop,240.0,576.9324276737734,169.89598674726807,stop-respond,1
go,,653.6322858887531,,go,1
go,,479.50791753496276,,go,1
go,,505.3810073416359,,go,1
go,,375.7221115413435,,go,1
stop,240.0,443.1391628469865,245.19563371538294,stop-respond,1
go,,583.0477045843935,,go,1
go,,472.5601915614351,,go,1
go,,630.8641521393548,,go,1
go,,471.29684086371947,,go,1
stop,160.0,529.4877189777528,548.9281161995798,stop-respond,1
go,,467.0400930338263,,go,1
go,,451.17196923971443,,go,1
go,,597.7724400503507,,go,1
go,,417.9797122432839,,go,1
stop,240.0,495.3735210854964,178.90962651516506,stop-respond,1
go,,503.22118854740904,,go,1
go,,420.1872190517048,,go,1
go,,471.020612948642,,go,1
go,,685.7880408750523,,go,1
stop,320.0,629.067581053417,190.07041263166224,stop-respond,1
go,,453.23008827501826,,go,1
go,,503.80023429584196,,go,1
go,,562.9281155650433,,go,1
go,,507.69936533325836,,go,1
stop,80.0,465.6345157946754,263.35500756570866,stop-respond,1
go,,618.5703519401288,,go,2
go,,610.3990521706562,,go,2
go,,523.8824454768442,,go,2
go,,507.70241088701675,,go,2
stop,400.0,779.8055172810979,406.3167623794628,stop-respond,2
go,,554.8253032098108,,go,2
go,,600.8411379846705,,go,2
go,,471.78302778955106,,go,2
go,,552.1829093521033,,go,2
stop,80.0,566.3836560947727,263.48364542848947,stop-respond,2
go,,693.6284903474207,,go,2
go,,657.8089325202097,,go,2
go,,559.3509640993577,,go,2
go,,422.83692926130635,,go,2
stop,240.0,566.3159017801412,201.53349636394358,stop-respond,2
go,,439.7436217920857,,go,2
go,,509.1369692212901,,go,2
go,,656.6341965422821,,go,2
go,,485.3608991981489,,go,2
stop,400.0,271.65892342113966,461.0127739946366,stop-respond,2
go,,295.3750232259759,,go,2
go,,320.96053161767185,,go,2
go,,479.88128831534186,,go,2
go,,662.9125464657832,,go,2
stop,240.0,404.34831476668046,205.35885321773142,stop-respond,2
go,,428.0923833889727,,go,2
go,,386.92134212715393,,go,2
go,,388.4653376760757,,go,2
go,,576.7836981740481,,go,2
stop,320.0,540.8447818233532,539.0114925375874,stop-respond,2
go,,451.52450207921515,,go,2
go,,701.1343744834292,,go,2
go,,545.4083714438477,,go,2
go,,487.0334893397287,,go,2
stop,80.0,347.7193873484537,438.31245446771106,stop-respond,2
go,,534.5430471280507,,go,2
go,,474.43720936793943,,go,2
go,,714.4215744330925,,go,2
go,,315.9024901839945,,go,2
stop,400.0,422.2252151930205,193.5880140491032,stop-respond,2
go,,571.2310178725105,,go,2
go,,666.6349335310726,,go,2
go,,671.8204692762058,,go,2
go,,617.5663013974558,,go,2
stop,480.0,428.04662686502155,361.15655138543815,stop-respond,2
go,,473.1953298500625,,go,2
go,,588.1983443566526,,go,2
go,,426.11856297708937,,go,2
go,,327.34743898253976,,go,2
stop,80.0,396.6832373727925,575.7612205247674,stop-respond,2
go,,545.4595356018738,,go,3
go,,505.85130412795894,,go,3
go,,470.5917115297226,,go,3
go,,585.0633685514517,,go,3
stop,400.0,592.6488143209295,278.4702083170188,stop-respond,3
go,,526.1812548003569,,go,3
go,,496.5947542514998,,go,3
go,,523.782234736409,,go,3
go,,582.7951881065147,,go,3
stop,240.0,,351.70414560981766,successful inhibition,3
go,,706.1628216844603,,go,3
go,,525.110660340759,,go,3
go,,428.6404301792956,,go,3
go,,448.0860980283992,,go,3
stop,320.0,550.7439394862639,272.05181036612544,stop-respond,3
go,,496.423105659596,,go,3
go,,452.6130097463239,,go,3
go,,527.3936493829355,,go,3
go,,478.69456729812384,,go,3
stop,320.0,594.8908973595882,256.794708122074,stop-respond,3
go,,509.718775280618,,go,3
go,,527.056821167061,,go,3
go,,615.8434764103612,,go,3
go,,552.7563124766383,,go,3
stop,80.0,,282.3868597087841,successful inhibition,3
go,,622.2241334837712,,go,3
go,,525.1832769813652,,go,3
go,,599.2533329448352,,go,3
go,,471.7957198627293,,go,3
stop,160.0,,232.9320339178628,successful inhibition,3
go,,546.5866440956501,,go,3
go,,494.3485101710245,,go,3
go,,561.5037049110601,,go,3
go,,525.9579673847413,,go,3
stop,240.0,,259.2482046192932,successful inhibition,3
go,,512.9133953808587,,go,3
go,,549.9911110632892,,go,3
go,,493.0267309584017,,go,3
go,,530.6511591559388,,go,3
stop,240.0,,250.52506458099592,successful inhibition,3
go,,549.3169112541001,,go,3
go,,573.99480415305,,go,3
go,,456.8128733760414,,go,3
go,,599.1881400566917,,go,3
stop,160.0,,324.19824692001555,successful inhibition,3
go,,507.6324254253478,,go,3
go,,506.90751298804037,,go,3
go,,471.48587609795277,,go,3
go,,572.8031890968831,,go,3
stop,400.0,487.4115356818978,195.571445034677,stop-respond,3
go,,731.2050476439802,,go,4
go,,509.04756840342077,,go,4
go,,733.523359614119,,go,4
go,,958.0880224437963,,go,4
stop,400.0,623.1910811837472,421.2856507312737,stop-respond,4
go,,484.80727347196944,,go,4
go,,795.3714225701957,,go,4
go,,527.1749199295756,,go,4
go,,421.83203821069213,,go,4
stop,480.0,734.3537047909435,165.4384689418526,stop-respond,4
go,,943.6902997691905,,go,4
go,,773.7621145337455,,go,4
go,,623.6818838574225,,go,4
go,,832.1611574235819,,go,4
stop,480.0,944.8736277354283,337.3774239983905,stop-respond,4
go,,668.895108165797,,go,4
go,,665.8762796699161,,go,4
go,,521.6297202238661,,go,4
go,,671.2931812761162,,go,4
stop,160.0,711.8222279262516,489.76486050783944,stop-respond,4
go,,435.26709072717335,,go,4
go,,720.513679066406,,go,4
go,,588.7641659672299,,go,4
go,,1256.1931718339586,,go,4
stop,160.0,782.9634141965794,528.5460772000861,stop-respond,4
go,,527.9954840299283,,go,4
go,,926.7463180890023,,go,4
go,,757.6977333598668,,go,4
go,,912.4135752578557,,go,4
stop,240.0,600.9700774738577,197.22500370510105,stop-respond,4
go,,617.2038533827491,,go,4
go,,572.4568905131713,,go,4
go,,433.11410994525767,,go,4
go,,659.029715873829,,go,4
stop,160.0,710.4730503927627,371.93746077070114,stop-respond,4
go,,551.166970966289,,go,4
go,,768.6677519120119,,go,4
go,,643.9770311902297,,go,4
go,,614.5071910752876,,go,4
stop,160.0,366.7124769476766,252.46518412881306,stop-respond,4
go,,664.6913015073723,,go,4
go,,555.7587914126082,,go,4
go,,629.0961722522065,,go,4
go,,594.3966400774513,,go,4
stop,160.0,650.4517824546263,317.46677177482934,stop-respond,4
go,,512.7628823681121,,go,4
go,,586.1690119232594,,go,4
go,,517.7247060796897,,go,4
go,,728.7342763365463,,go,4
stop,480.0,494.48678845895466,194.02945887588743,stop-respond,4
go,,664.2445513930647,,go,5
go,,620.5870989536307,,go,5
go,,696.4898070331163,,go,5
go,,707.1324828061597,,go,5
stop,320.0,,87.00156775718818,successful inhibition,5
go,,506.39053244461377,,go,5
go,,844.8484324319745,,go,5
go,,645.650215438405,,go,5
go,,799.4526366324966,,go,5
stop,320.0,425.6424410909453,285.7489966998219,stop-respond,5
go,,902.8046518853274,,go,5
go,,952.8288392408273,,go,5
go,,780.6707721779967,,go,5
go,,665.0202777630197,,go,5
stop,400.0,,211.9689183929537,successful inhibition,5
go,,486.8727427707505,,go,5
go,,720.6414984172839,,go,5
go,,491.58025998539654,,go,5
go,,785.3541447013499,,go,5
stop,80.0,,323.0044559564727,successful inhibition,5
go,,492.86875625800735,,go,5
go,,809.6206524420771,,go,5
go,,454.3236781564534,,go,5
go,,570.315845068901,,go,5
stop,80.0,679.8404735306133,267.84903592992015,stop-respond,5
go,,856.3435214859101,,go,5
go,,736.3046552839356,,go,5
