trial_type,ssd,observed_rt,ss_rt,outcome,participant_id
go,,464.5065894063316,,go,0
go,,527.0926165456942,,go,0
go,,539.0206950646713,,go,0
go,,543.9295187318253,,go,0
stop,320.0,535.8945984438053,179.64558001499842,stop-respond,0
go,,576.6460607409153,,go,0
go,,589.0458000241869,,go,0
go,,644.2425810552578,,go,0
go,,536.4673305133514,,go,0
stop,480.0,485.43679203401376,181.40967559798077,stop-respond,0
go,,508.46262009376966,,go,0
go,,533.7762115387344,,go,0
go,,445.77343861369985,,go,0
go,,557.9382800145034,,go,0
stop,160.0,500.4277751790516,180.66921665206706,stop-respond,0
go,,563.2910560928134,,go,0
go,,569.9239533733646,,go,0
go,,550.7499536853187,,go,0
go,,543.3611046776589,,go,0
stop,400.0,572.1466471685173,183.59947613637667,stop-respond,0
go,,469.3972641539862,,go,0
go,,512.8099754196372,,go,0
go,,468.65916828914357,,go,0
go,,594.1135716478359,,go,0
stop,400.0,509.18998158073504,179.85830672106397,stop-respond,0
go,,549.0921142677944,,go,0
go,,414.5922347666726,,go,0
go,,562.8191781418124,,go,0
go,,413.2649012273864,,go,0
stop,80.0,,179.7102239927428,successful inhibition,0
go,,441.2023461082361,,go,0
go,,573.380129457171,,go,0
go,,512.2519316065004,,go,0
go,,545.7365566705486,,go,0
stop,160.0,466.04025619608325,181.4179957227361,stop-respond,0
go,,430.17338018638844,,go,0
go,,514.1128267675697,,go,0
go,,520.4348815978674,,go,0
go,,448.1053875941814,,go,0
stop,160.0,,181.56878030887594,successful inhibition,0
go,,521.608502007938,,go,0
go,,574.5246812384638,,go,0
go,,459.9912539674571,,go,0
go,,450.5354820914028,,go,0
stop,400.0,513.0497903332223,180.5263653460784,stop-respond,0
go,,500.8375552939465,,go,0
go,,481.98862175675015,,go,0
go,,464.9526595595757,,go,0
go,,463.13713558728625,,go,0
stop,320.0,512.386831817992,177.2298582457048,stop-respond,0
go,,445.1507087468894,,go,1
go,,764.1266576782841,,go,1
go,,606.8155516441883,,go,1
go,,541.4014899360692,,go,1
stop,80.0,,395.69763624166694,successful inhibition,1
go,,578.4120478673387,,go,1
go,,401.89013346376134,,go,1
go,,546.0086795196631,,go,1
go,,594.9743039067621,,go,1
stop,240.0,682.1477185226188,719.1977453888093,stop-respond,1
go,,529.371534086507,,go,1
go,,477.0258163166971,,go,1
go,,626.0333341870718,,go,1
go,,666.0683150720422,,go,1
stop,240.0,419.4151704200662,318.562282333358,stop-respond,1
go,,416.56669966112867,,go,1
go,,511.9645177677657,,go,1
go,,479.72516652942755,,go,1
go,,535.6519543107845,,go,1
stop,80.0,375.6432247622439,196.35791097485236,stop-respond,1
go,,429.1318408907661,,go,1
go,,678.9940752102694,,go,1
go,,684.1463172775345,,go,1
go,,416.2458322034096,,go,1
stop,400.0,533.4856874240579,290.7106042180403,stop-respond,1
go,,484.2066329970295,,go,1
go,,610.7405300364829,,go,1
go,,584.7726961182,,go,1
go,,611.3879005165095,,go,1
stop,160.0,560.5129347540443,591.767622674151,stop-respond,1
go,,657.2493498379479,,go,1
go,,593.6542764796444,,go,1
go,,415.768084245348,,go,1
go,,579.7154210230078,,go,1
stop,480.0,675.4582794931971,297.3295030343668,stop-respond,1
go,,586.4089185285827,,go,1
go,,438.90927104599973,,go,1
go,,485.4201172141859,,go,1
go,,654.8059683708789,,go,1
stop,400.0,441.6110427120884,401.36720929929436,stop-respond,1
go,,675.582370252456,,go,1
go,,648.5027753955845,,go,1
go,,445.3060239025033,,go,1
go,,531.512117723477,,go,1
stop,400.0,626.3427087421987,211.99533508807318,stop-respond,1
go,,435.63127876382407,,go,1
go,,464.9806560029607,,go,1
go,,455.38109312899144,,go,1
go,,424.21040395429486,,go,1
stop,320.0,492.6841861840979,163.6741534042591,stop-respond,1
go,,511.632917925339,,go,2
go,,575.8622874817438,,go,2
go,,525.1528649385448,,go,2
go,,390.24830410101504,,go,2
stop,240.0,432.56964137102807,136.46458186912307,stop-respond,2
go,,478.85824792298087,,go,2
go,,637.1318754061217,,go,2
go,,608.4633184476213,,go,2
