trial_type,ssd,observed_rt,ss_rt,outcome,rt,participant_id
go,,,,go,518.6419978769377,0
go,,,,go,519.019226466185,0
go,,,,go,567.9832752639606,0
go,,,,go,498.088701478454,0
stop,200.0,638.890586182195,177.91224527189271,stop-respond,,0
go,,,,go,441.45256563264957,0
go,,,,go,560.3303725836403,0
go,,,,go,584.140783954319,0
go,,,,go,515.2246643183394,0
stop,150.0,510.560524219481,181.06973630808935,stop-respond,,0
go,,,,go,544.5216497721595,0
go,,,,go,450.9834238065963,0
go,,,,go,650.278918656767,0
go,,,,go,481.37857226213544,0
stop,100.0,,179.06298076651854,successful inhibition,,0
go,,,,go,508.023320612854,0
go,,,,go,544.9239728059931,0
go,,,,go,597.0693193420694,0
go,,,,go,467.7105349466177,0
stop,150.0,,181.01919202887854,successful inhibition,,0
go,,,,go,635.3535458665218,0
go,,,,go,607.9207631626471,0
go,,,,go,444.3538082950883,0
go,,,,go,432.26536963355375,0
stop,200.0,511.72211689955094,180.82833563648916,stop-respond,,0
go,,,,go,441.1764144523352,0
go,,,,go,512.9703097277821,0
go,,,,go,548.0388890017771,0
go,,,,go,498.0863172261262,0
stop,150.0,,180.9892828304363,successful inhibition,,0
go,,,,go,478.4201579447114,0
go,,,,go,532.8467755385865,0
go,,,,go,685.7206574624256,0
go,,,,go,566.6416871762723,0
stop,200.0,,179.22870691205264,successful inhibition,,0
go,,,,go,585.7231565053278,0
go,,,,go,476.41847054254345,0
go,,,,go,547.4535486498684,0
go,,,,go,541.1847285102724,0
stop,250.0,511.6239505573832,178.96011467773045,stop-respond,,0
go,,,,go,511.0747205706044,0
go,,,,go,514.0172716319483,0
go,,,,go,503.2491607429216,0
go,,,,go,476.4225915092706,0
stop,200.0,511.69004533242673,180.10270613058321,stop-respond,,0
go,,,,go,512.3158899703587,0
go,,,,go,640.6585297129233,0
go,,,,go,519.2149049747445,0
go,,,,go,511.23751318755967,0
stop,150.0,,180.8141685596481,successful inhibition,,0
go,,,,go,582.7583227417208,1
go,,,,go,543.9591800771261,1
go,,,,go,439.17005804419233,1
go,,,,go,583.1088145508365,1
stop,200.0,481.2307240158648,361.436377616498,stop-respond,,1
go,,,,go,561.9143419804573,1
go,,,,go,649.0470753945799,1
go,,,,go,400.4484302145276,1
go,,,,go,577.8976654068804,1
stop,150.0,545.0718879686627,198.54919671627715,stop-respond,,1
go,,,,go,384.41405249027946,1
go,,,,go,535.3599558441588,1
go,,,,go,336.28558987341165,1
go,,,,go,653.7554727693043,1
stop,100.0,662.1746838073644,217.46804049007642,stop-respond,,1
go,,,,go,651.8473045057267,1
go,,,,go,490.70391071064387,1
go,,,,go,864.1463058001532,1
go,,,,go,484.76805005561687,1
stop,50.0,398.68780950901476,246.68545392362694,stop-respond,,1
go,,,,go,378.3718951505199,1
go,,,,go,718.4513946693005,1
go,,,,go,382.8392023317699,1
go,,,,go,527.0296180499711,1
stop,0.0,660.3452930966039,183.47390583423004,stop-respond,,1
go,,,,go,546.6041665468148,1
go,,,,go,489.54690474699254,1
go,,,,go,608.2756144130686,1
go,,,,go,482.6422024864165,1
stop,-50.0,506.83932499828853,376.57476850070856,stop-respond,,1
go,,,,go,511.6152918300005,1
go,,,,go,495.19791274143614,1
go,,,,go,485.8076768136813,1
go,,,,go,345.97084478366577,1
stop,-100.0,,361.5378418873077,successful inhibition,,1
go,,,,go,526.5546537574035,1
go,,,,go,538.6699275375079,1
go,,,,go,520.6281244052916,1
go,,,,go,527.212632775824,1
stop,-50.0,540.9528554367188,179.91029581892363,stop-respond,,1
go,,,,go,416.93194182130287,1
go,,,,go,533.9809063499367,1
go,,,,go,379.7194661049696,1
go,,,,go,496.7971959691701,1
stop,-100.0,666.9487549341934,207.97882701455774,stop-respond,,1
go,,,,go,841.6474140060648,1
go,,,,go,616.6166978567578,1
go,,,,go,659.896119854536,1
go,,,,go,667.1949329848626,1
stop,-150.0,540.8881731179084,209.37890894466946,stop-respond,,1
go,,,,go,426.14905139899827,2
go,,,,go,389.34372937184014,2
go,,,,go,624.986602179188,2
go,,,,go,464.8108439247633,2
stop,200.0,583.8432782042973,130.90000216218704,stop-respond,,2
go,,,,go,529.9417879520271,2
go,,,,go,611.5849831622447,2
go,,,,go,588.663881430415,2
go,,,,go,554.957081654465,2
stop,150.0,403.0948339324031,267.06706144568295,stop-respond,,2
go,,,,go,568.6935706746324,2
go,,,,go,823.6230392034678,2
go,,,,go,589.3781030345891,2
go,,,,go,495.0910940821432,2
stop,100.0,446.7276385197427,355.1828679935908,stop-respond,,2
go,,,,go,427.1020218241991,2
go,,,,go,750.278607262441,2
go,,,,go,460.84747527398497,2
go,,,,go,582.5698079912204,2
stop,50.0,295.11317714967254,381.85560182874303,stop-respond,,2
go,,,,go,711.6998185464695,2
go,,,,go,504.0759767210991,2
go,,,,go,590.1980254408047,2
go,,,,go,656.8990086884103,2
stop,0.0,,411.44288738547925,successful inhibition,,2
go,,,,go,375.4093634316323,2
go,,,,go,577.5815192703742,2
go,,,,go,378.7624962853507,2
go,,,,go,630.7505652027255,2
stop,50.0,484.66164403455593,257.8880822812031,stop-respond,,2
go,,,,go,711.4523046005155,2
go,,,,go,558.1472666194893,2
go,,,,go,759.0130414168659,2
go,,,,go,580.0555147702089,2
stop,0.0,490.6518670986085,346.78515470850607,stop-respond,,2
go,,,,go,711.1728470813566,2
go,,,,go,239.90028929687537,2
go,,,,go,508.8542993214161,2
go,,,,go,511.5674893580006,2
stop,-50.0,363.0809511593918,539.5856035920633,stop-respond,,2
go,,,,go,644.6482837201667,2
go,,,,go,531.4853190557637,2
go,,,,go,461.24194038348935,2
go,,,,go,509.83217761075264,2
stop,-100.0,574.8319532425277,102.78959364844977,stop-respond,,2
go,,,,go,547.9052646043928,2
go,,,,go,406.2839880341822,2
go,,,,go,552.9794923211373,2
go,,,,go,454.76354321075655,2
stop,-150.0,474.6119637371254,241.37766463923998,stop-respond,,2
go,,,,go,633.4134563284439,3
go,,,,go,536.8693525580151,3
go,,,,go,454.6927559109812,3
go,,,,go,549.3446654915898,3
